Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Cupra,Cupra Ateca 2.0 TSI 4Drive DSG Limited Edition,57900,PLN,Benzyna,67000,2020,Automatyczna,2.0
BMW,BMW Seria 4,78900,PLN,Diesel,154000,2019,Automatyczna,NULL
Honda,Honda HR-V 1.5 Elegance (ADAS) CVT,59999,PLN,Benzyna,100270,2017,Automatyczna,1.5
Opel,Opel Astra 1.4 T Essentia,29950,PLN,Benzyna,159000,2015,Manualna,1.4
Ford,Ford Mondeo 2.0 TDCi Titanium,15900,PLN,Diesel,249000,2010,Manualna,2.0
Ford,Ford S-Max 2.0 TDCi DPF Titanium,26900,PLN,Diesel,279950,2014,Manualna,2.0
Volvo,Volvo XC 60 B4 D AWD Momentum,83700,PLN,Diesel,135000,2021,Automatyczna,NULL
Chevrolet,Chevrolet Cruze 1.4 T LT,9500,PLN,Benzyna,178819,2012,Manualna,1.4
Opel,Opel Astra 1.6 Catch me,8900,PLN,Benzyna+LPG,237000,2006,Manualna,1.6
Audi,Audi A4 Avant,6900,PLN,Benzyna,319000,2005,Automatyczna,NULL
Opel,Opel Meriva 1.4 T Cosmo,35900,PLN,Benzyna,106788,2016,Automatyczna,1.4
Mitsubishi,Mitsubishi Eclipse Cross 1.5 T Intense CVT,58900,PLN,Benzyna,157000,2018,Automatyczna,1.5
Renault,Renault Laguna dCi 175 FAP GT,21900,PLN,Diesel,238622,2012,Automatyczna,NULL
Ford,Ford Focus 1.0 EcoBoost Start-Stopp-System COOL&CONNECT,22500,PLN,Benzyna,165000,2017,Manualna,1.0
Renault,Renault Grand Scenic,29999,PLN,Benzyna,159000,2014,Manualna,NULL
Opel,Opel Mokka 1.6 Cosmo S&S,34900,PLN,Benzyna,149000,2016,Manualna,1.6
Ford,Ford Focus 1.6 EcoBoost Titanium,17900,PLN,Benzyna,160800,2012,Manualna,1.6
BMW,BMW Seria 4 435d xDrive Sport-Aut M Sport,69990,PLN,Diesel,187500,2014,Automatyczna,NULL
Renault,Renault Megane TCe 115 GPF ZEN,44900,PLN,Benzyna,137912,2022,Manualna,NULL
Ford,Ford Fiesta 1.25 Ambiente,13500,PLN,Benzyna,182000,2010,Manualna,1.2
